"","start","keyword","hits","location"
"110",2016-09-27 21:00:00,"Wekker",63,"NL"
"111",2016-09-27 22:00:00,"Wekker",64,"NL"
"112",2016-09-27 23:00:00,"Wekker",52,"NL"
"113",2016-09-28 00:00:00,"Wekker",84,"NL"
"114",2016-09-28 01:00:00,"Wekker",29,"NL"
"115",2016-09-28 02:00:00,"Wekker",52,"NL"
"116",2016-09-28 03:00:00,"Wekker",35,"NL"
"117",2016-09-28 04:00:00,"Wekker",79,"NL"
"118",2016-09-28 05:00:00,"Wekker",59,"NL"
"119",2016-09-28 06:00:00,"Wekker",34,"NL"
"120",2016-09-28 07:00:00,"Wekker",20,"NL"
"121",2016-09-28 08:00:00,"Wekker",19,"NL"
"122",2016-09-28 09:00:00,"Wekker",19,"NL"
"123",2016-09-28 10:00:00,"Wekker",21,"NL"
"124",2016-09-28 11:00:00,"Wekker",18,"NL"
"125",2016-09-28 12:00:00,"Wekker",28,"NL"
"126",2016-09-28 13:00:00,"Wekker",18,"NL"
"127",2016-09-28 14:00:00,"Wekker",19,"NL"
"128",2016-09-28 15:00:00,"Wekker",29,"NL"
"129",2016-09-28 16:00:00,"Wekker",28,"NL"
"130",2016-09-28 17:00:00,"Wekker",24,"NL"
"131",2016-09-28 18:00:00,"Wekker",30,"NL"
"132",2016-09-28 19:00:00,"Wekker",40,"NL"
"133",2016-09-28 20:00:00,"Wekker",50,"NL"
"134",2016-09-28 21:00:00,"Wekker",67,"NL"
"135",2016-09-28 22:00:00,"Wekker",72,"NL"
"136",2016-09-28 23:00:00,"Wekker",74,"NL"
"137",2016-09-29 00:00:00,"Wekker",54,"NL"
"138",2016-09-29 01:00:00,"Wekker",47,"NL"
"139",2016-09-29 02:00:00,"Wekker",20,"NL"
"140",2016-09-29 03:00:00,"Wekker",88,"NL"
"141",2016-09-29 04:00:00,"Wekker",63,"NL"
"142",2016-09-29 05:00:00,"Wekker",51,"NL"
"143",2016-09-29 06:00:00,"Wekker",35,"NL"
"144",2016-09-29 07:00:00,"Wekker",24,"NL"
"145",2016-09-29 08:00:00,"Wekker",23,"NL"
"146",2016-09-29 09:00:00,"Wekker",18,"NL"
"147",2016-09-29 10:00:00,"Wekker",21,"NL"
"148",2016-09-29 11:00:00,"Wekker",24,"NL"
"149",2016-09-29 12:00:00,"Wekker",18,"NL"
"150",2016-09-29 13:00:00,"Wekker",16,"NL"
"151",2016-09-29 14:00:00,"Wekker",24,"NL"
"152",2016-09-29 15:00:00,"Wekker",18,"NL"
"153",2016-09-29 16:00:00,"Wekker",21,"NL"
"154",2016-09-29 17:00:00,"Wekker",22,"NL"
"155",2016-09-29 18:00:00,"Wekker",27,"NL"
"156",2016-09-29 19:00:00,"Wekker",39,"NL"
"157",2016-09-29 20:00:00,"Wekker",50,"NL"
"158",2016-09-29 21:00:00,"Wekker",66,"NL"
"159",2016-09-29 22:00:00,"Wekker",57,"NL"
"160",2016-09-29 23:00:00,"Wekker",54,"NL"
"161",2016-09-30 00:00:00,"Wekker",56,"NL"
"162",2016-09-30 01:00:00,"Wekker",9,"NL"
"163",2016-09-30 02:00:00,"Wekker",84,"NL"
"164",2016-09-30 03:00:00,"Wekker",46,"NL"
"165",2016-09-30 04:00:00,"Wekker",58,"NL"
"166",2016-09-30 05:00:00,"Wekker",61,"NL"
"167",2016-09-30 06:00:00,"Wekker",34,"NL"
"168",2016-09-30 07:00:00,"Wekker",23,"NL"
